epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1307.09,1.76641,5.07689,1.24541,0.32047,0.3321,0.19496,0.08046,1.7821,2.95669,1.3029,0.000663636,0.000663636,0.000663636
2,2574.08,1.9382,2.33047,1.32356,0.34365,0.28044,0.22177,0.09326,1.82632,2.65305,1.31463,0.00130396,0.00130396,0.00130396
3,3821.82,1.93605,2.42575,1.34087,0.35965,0.32472,0.24456,0.12637,1.86766,3.83548,1.31218,0.00191789,0.00191789,0.00191789
4,4993.52,1.81824,2.00861,1.33495,0.48348,0.28782,0.29701,0.14954,1.74987,2.25037,1.29894,0.0018812,0.0018812,0.0018812
5,6267.54,1.65628,1.99025,1.20057,0.62824,0.37269,0.40752,0.20959,1.40654,2.30451,1.07419,0.0018416,0.0018416,0.0018416
6,7461.21,1.84096,1.76247,1.26925,0.59148,0.21371,0.26957,0.13273,1.73314,3.23576,1.24323,0.001802,0.001802,0.001802
7,8715.68,1.75702,1.65026,1.26219,0.72173,0.35411,0.45134,0.23226,1.75712,2.20916,1.22012,0.0017624,0.0017624,0.0017624
8,10138.1,1.64127,1.59222,1.2231,0.54093,0.45655,0.45947,0.24639,1.40094,2.63422,1.1056,0.0017228,0.0017228,0.0017228
9,11352.9,1.65077,1.54714,1.21458,0.61261,0.33846,0.39237,0.20936,1.66037,3.23402,1.23122,0.0016832,0.0016832,0.0016832
10,12601.8,1.59355,1.34554,1.21839,0.64214,0.41697,0.48784,0.26278,1.59315,4.3046,1.167,0.0016436,0.0016436,0.0016436
11,13784.4,1.54848,1.41189,1.15415,0.67576,0.49989,0.55223,0.31283,1.39988,1.62308,1.11187,0.001604,0.001604,0.001604
12,15041.2,1.55762,1.36688,1.16689,0.66859,0.42066,0.47694,0.26586,1.58799,2.04582,1.18366,0.0015644,0.0015644,0.0015644
13,16310.4,1.46415,1.39962,1.1752,0.61021,0.43325,0.45567,0.2505,1.45356,2.17114,1.1287,0.0015248,0.0015248,0.0015248
14,17582.8,1.48253,1.32447,1.14027,0.64487,0.46234,0.50965,0.27413,1.50542,2.55721,1.14721,0.0014852,0.0014852,0.0014852
